gene_id,transcript_id,
KLLA0_C12007g,Pho84,"no ""gene:"" and ""transcript:"""
KLLA0_A03982g,CAH02763,
KLLA0_A02365g,CAH02693,
KLLA0_A05621g,CAH02837,
KLLA0_A05368g,CAH02825,
KLLA0_A09691g,CAH03011,
KLLA0_A11506g,CAH03088,
KLLA0_A00220g,CAH02597,
KLLA0_A09075g,CAH02985,
KLLA0_A03355g,CAH02735,
KLLA0_A00286g,CAH02600,
KLLA0_A02299g,CAH02690,
KLLA0_A04015g,CAH02765,
KLLA0_A06402g,CAH02873,
KLLA0_A06798g,CAH02891,
KLLA0_A11572g,CAH03091,
KLLA0_A02915g,CAH02715,
KLLA0_A11132g,CAH03073,
KLLA0_A03311g,CAH02733,
KLLA0_A11110g,CAH03072,
KLLA0_A10681g,CAH03055,
KLLA0_A05643g,CAH02838,
KLLA0_A05159g,CAH02815,
KLLA0_A01089g,CAH02635,
KLLA0_A12045g,CAH03113,
KLLA0_A10087g,CAH03029,
KLLA0_A12001g,CAH03111,
KLLA0_A00539g,CAR65216,
KLLA0_A04906g,CAH02803,
KLLA0_A09845g,CAH03018,
KLLA0_A08041g,CAH02946,
KLLA0_A05522g,CAH02832,
KLLA0_A06083g,CAH02859,
KLLA0_A06732g,CAH02888,
KLLA0_A01870g,CAH02670,
KLLA0_A03003g,CAH02719,
KLLA0_A00803g,CAH02622,
KLLA0_A10857g,CAH03061,
KLLA0_A01804g,CAH02667,
KLLA0_A04543g,CAH02787,
KLLA0_A03641g,CAH02748,
KLLA0_A05819g,CAH02847,
KLLA0_A09251g,CAH02993,
KLLA0_A01694g,CAH02662,
KLLA0_A04521g,CAH02786,
KLLA0_A02189g,CAH02685,
KLLA0_A04037g,CAH02766,
KLLA0_A03960g,CAH02762,
KLLA0_A05247g,CAH02819,
KLLA0_A03245g,CAH02730,
KLLA0_A05863g,CAH02849,
KLLA0_A10175g,CAH03033,
KLLA0_A01408g,CAH02649,
KLLA0_A06105g,CAH02860,
KLLA0_A04862g,CAH02801,
KLLA0_A06259g,CAH02867,
KLLA0_A02057g,CAH02679,
KLLA0_A09427g,CAH03000,
KLLA0_A11352g,CAH03081,
KLLA0_A01067g,CAH02634,
KLLA0_A01650g,CAH02660,
KLLA0_A05005g,CAH02808,
KLLA0_A11044g,CAH03069,
KLLA0_A06974g,CAH02897,
KLLA0_A08404g,CAH02959,
KLLA0_A09449g,CAH03001,
KLLA0_A04235g,CAH02775,
KLLA0_A03377g,CAH02736,
KLLA0_A05478g,CAH02830,
KLLA0_A06215g,CAH02865,
KLLA0_A06512g,CAH02878,
KLLA0_A05324g,CAH02823,
KLLA0_A07667g,CAH02929,
KLLA0_A11814g,CAH03102,
KLLA0_A06820g,CAH02892,
KLLA0_A04059g,CAH02767,
KLLA0_A10571g,CAH03051,
KLLA0_A04928g,CAH02804,
KLLA0_A09229g,CAH02992,
KLLA0_A04081g,CAH02768,
KLLA0_A05346g,CAH02824,
KLLA0_A11660g,CAH03095,
KLLA0_A02343g,CAH02692,
KLLA0_A01606g,CAH02658,
KLLA0_A08162g,CAH02951,
KLLA0_A08624g,CAH02967,
KLLA0_A00264g,CAH02599,
KLLA0_A10813g,CAH03059,
KLLA0_A09977g,CAH03024,
KLLA0_A09119g,CAH02987,
KLLA0_A01297g,CAH02643,
KLLA0_A06622g,CAH02883,
KLLA0_A12067g,CAH03114,
KLLA0_A08800g,CAH02974,
KLLA0_A07172g,CAH02906,
KLLA0_A00660g,CAH02615,
KLLA0_A10021g,CAH03026,
KLLA0_A04301g,CAH02776,
KLLA0_A10307g,CAH03039,
KLLA0_A05731g,CAH02843,
KLLA0_A11979g,CAH03110,
KLLA0_A01573g,CAH02656,
KLLA0_A12089g,CAH03115,
KLLA0_A09999g,CAH03025,
KLLA0_A00110g,CAH02592,
KLLA0_A11913g,CAH03107,
KLLA0_A07227g,CAH02909,
KLLA0_A10923g,CAH03063,
KLLA0_A01826g,CAH02668,
KLLA0_A05280g,CAH02821,
KLLA0_A11374g,CAH03082,
KLLA0_A08107g,CAH02948,
KLLA0_A02893g,CAH02714,
KLLA0_A07557g,CAH02924,
KLLA0_A10901g,CAH03062,
KLLA0_A04345g,CAH02778,
KLLA0_A02453g,CAH02696,
KLLA0_A10637g,CAH03053,
KLLA0_A02717g,CAH02708,
KLLA0_A03289g,CAH02732,
KLLA0_A08470g,CAH02962,
KLLA0_A08734g,CAH02971,
KLLA0_A05181g,CAH02816,
KLLA0_A02101g,CAH02681,
KLLA0_A11858g,CAH03104,
KLLA0_A10483g,CAH03047,
KLLA0_A01045g,CAH02633,
KLLA0_A07953g,CAH02942,
KLLA0_A07403g,CAH02917,
KLLA0_A00198g,CAH02596,
KLLA0_A07359g,CAH02915,
KLLA0_A02079g,CAH02680,
KLLA0_A06193g,CAH02864,
KLLA0_A06446g,CAH02875,
KLLA0_A07194g,CAH02907,
KLLA0_A01320g,CAH02645,
KLLA0_A02871g,CAH02713,
KLLA0_A04796g,CAH02798,
KLLA0_A09713g,CAH03012,
KLLA0_A06886g,CAH02894,
KLLA0_A04730g,CAH02795,
KLLA0_A06666g,CAH02885,
KLLA0_A03938g,CAH02761,
KLLA0_A07931g,CAH02941,
KLLA0_A00913g,CAH02627,
KLLA0_A11770g,CAH03100,
KLLA0_A09339g,CAH02996,
KLLA0_A08129g,CAH02949,
KLLA0_A08382g,CAH02958,
KLLA0_A11308g,CAH03079,
KLLA0_A00242g,CAH02598,
KLLA0_A01001g,CAH02631,
KLLA0_A08360g,CAH02957,
KLLA0_A10285g,CAH03038,
KLLA0_A08844g,CAH02976,
KLLA0_A02673g,CAH02706,
KLLA0_A04367g,CAH02779,
KLLA0_A09207g,CAH02991,
KLLA0_A07249g,CAH02910,
KLLA0_A00891g,CAH02626,
KLLA0_A06534g,CAH02879,
KLLA0_A10769g,CAH03057,
KLLA0_A08888g,CAH02978,
KLLA0_A01551g,CAH02655,
KLLA0_A11935g,CAH03108,
KLLA0_A01474g,CAH02652,
KLLA0_A07381g,CAH02916,
KLLA0_A03091g,CAH02723,
KLLA0_A09603g,CAH03007,
KLLA0_A01782g,CAH02666,
KLLA0_A07425g,CAH02918,
KLLA0_A10527g,CAH03049,
KLLA0_A05203g,CAH02817,
KLLA0_A07271g,CAH02911,
KLLA0_A00143g,CAR65215,
KLLA0_A04103g,CAH02769,
KLLA0_A01023g,CAH02632,
KLLA0_A04620g,CAR65217,
KLLA0_A05775g,CAH02845,
KLLA0_A03465g,CAH02740,
KLLA0_A10439g,CAH03045,
KLLA0_A07997g,CAH02944,
KLLA0_A04653g,CAH02792,
KLLA0_A07711g,CAH02931,
KLLA0_A04169g,CAH02772,
KLLA0_A09757g,CAH03014,
KLLA0_A00847g,CAH02624,
KLLA0_A01848g,CAH02669,
KLLA0_A06754g,CAH02889,
KLLA0_A07051g,CAR65220,
KLLA0_A06061g,CAH02858,
KLLA0_A06600g,CAH02882,
KLLA0_A07128g,CAH02904,
KLLA0_A09405g,CAH02999,
KLLA0_A02651g,CAH02705,
KLLA0_A06017g,CAH02856,
KLLA0_A05071g,CAH02811,
KLLA0_A05511g,CAR65218,
KLLA0_A01177g,CAH02639,
KLLA0_A02519g,CAH02699,
KLLA0_A02607g,CAH02703,
KLLA0_A07689g,CAH02930,
KLLA0_A00352g,CAH02601,
KLLA0_A03267g,CAH02731,
KLLA0_A07040g,CAH02900,
KLLA0_A11088g,CAH03071,
KLLA0_A07755g,CAH02933,
KLLA0_A00132g,CAH02593,
KLLA0_A11396g,CAH03083,
KLLA0_A11748g,CAH03099,
KLLA0_A02827g,CAH02711,
KLLA0_A10373g,CAH03042,
KLLA0_A10351g,CAH03041,
KLLA0_A04323g,CAH02777,
KLLA0_A02541g,CAH02700,
KLLA0_A05390g,CAH02826,
KLLA0_A00396g,CAH02603,
KLLA0_A02739g,CAH02709,
KLLA0_A09471g,CAH03002,
KLLA0_A03806g,CAH02754,
KLLA0_A08536g,CAH02964,
KLLA0_A11209g,CAR65221,
KLLA0_A11638g,CAH03094,
